measurement,location,url,table_number,time_row_position,row_position
atsumigawadam_wl,atsumi,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?unq=1188111700&mnflg=0&tmgo=&vo=0&mty=0&rk=1&og11=0&og10=0&og9=0&og8=0&og7=0&og6=0&og5=0&og4=0&og3=0&og2=0&og1=0&ost=0&omp=0&gm=0&go=0&gc=0&gw=0&gl=0&gn=0&gk5=0&gk4=0&gk3=0&gk2=0&gk1=0&gk=0&ga=4&sb=0&tk=0&tsw=0&tsk=0&it=1&st=1&cn=0&fn=0&tvm=0&vm=0&pg=1&sn=13&tm=000101010000&nw=1&no=0&mp=0&dk=4&sv=3&lod=0&nwg=1&tmg=201811120110&wsl=0&wl=1&rg=10&sy=gra_dam,8,7,-3
atsumigawadam_tot_inflow,atsumi,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?unq=1188111700&mnflg=0&tmgo=&vo=0&mty=0&rk=1&og11=0&og10=0&og9=0&og8=0&og7=0&og6=0&og5=0&og4=0&og3=0&og2=0&og1=0&ost=0&omp=0&gm=0&go=0&gc=0&gw=0&gl=0&gn=0&gk5=0&gk4=0&gk3=0&gk2=0&gk1=0&gk=0&ga=4&sb=0&tk=0&tsw=0&tsk=0&it=1&st=1&cn=0&fn=0&tvm=0&vm=0&pg=1&sn=13&tm=000101010000&nw=1&no=0&mp=0&dk=4&sv=3&lod=0&nwg=1&tmg=201811120110&wsl=0&wl=1&rg=10&sy=gra_dam,8,7,-2
atsumigawadam_tot_outflow,atsumi,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?unq=1188111700&mnflg=0&tmgo=&vo=0&mty=0&rk=1&og11=0&og10=0&og9=0&og8=0&og7=0&og6=0&og5=0&og4=0&og3=0&og2=0&og1=0&ost=0&omp=0&gm=0&go=0&gc=0&gw=0&gl=0&gn=0&gk5=0&gk4=0&gk3=0&gk2=0&gk1=0&gk=0&ga=4&sb=0&tk=0&tsw=0&tsk=0&it=1&st=1&cn=0&fn=0&tvm=0&vm=0&pg=1&sn=13&tm=000101010000&nw=1&no=0&mp=0&dk=4&sv=3&lod=0&nwg=1&tmg=201811120110&wsl=0&wl=1&rg=10&sy=gra_dam,8,7,-1
takasakadam_hr_rain,takasaka,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?sy=gra_dam&rg=10&wl=1&wsl=0&tmg=202210040950&nwg=1&lod=0&sv=1&dk=4&mp=0&no=0&nw=1&tm=000101010000&sn=5&pg=1&vm=0&tvm=0&fn=0&cn=0&st=1&it=1&tsk=0&tsw=0&tk=0&sb=0&ga=4&gk=0&gk1=0&gk2=0&gk3=0&gk4=0&gk5=0&gn=0&gl=0&gw=0&gc=0&go=0&gm=0&omp=0&ost=0&og1=0&og2=0&og3=0&og4=0&og5=0&og6=0&og7=0&og8=0&og9=0&og10=0&og11=0&rk=1&mty=0&vo=0&tmgo=000101010000&mnflg=0&unq=1229495939,8,7,-5
takasakadam_cum_rain,takasaka,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?sy=gra_dam&rg=10&wl=1&wsl=0&tmg=202210040950&nwg=1&lod=0&sv=1&dk=4&mp=0&no=0&nw=1&tm=000101010000&sn=5&pg=1&vm=0&tvm=0&fn=0&cn=0&st=1&it=1&tsk=0&tsw=0&tk=0&sb=0&ga=4&gk=0&gk1=0&gk2=0&gk3=0&gk4=0&gk5=0&gn=0&gl=0&gw=0&gc=0&go=0&gm=0&omp=0&ost=0&og1=0&og2=0&og3=0&og4=0&og5=0&og6=0&og7=0&og8=0&og9=0&og10=0&og11=0&rk=1&mty=0&vo=0&tmgo=000101010000&mnflg=0&unq=1229495939,8,7,-4
takasakadam_wl,takasaka,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?sy=gra_dam&rg=10&wl=1&wsl=0&tmg=202210040950&nwg=1&lod=0&sv=1&dk=4&mp=0&no=0&nw=1&tm=000101010000&sn=5&pg=1&vm=0&tvm=0&fn=0&cn=0&st=1&it=1&tsk=0&tsw=0&tk=0&sb=0&ga=4&gk=0&gk1=0&gk2=0&gk3=0&gk4=0&gk5=0&gn=0&gl=0&gw=0&gc=0&go=0&gm=0&omp=0&ost=0&og1=0&og2=0&og3=0&og4=0&og5=0&og6=0&og7=0&og8=0&og9=0&og10=0&og11=0&rk=1&mty=0&vo=0&tmgo=000101010000&mnflg=0&unq=1229495939,8,7,-3
takasakadam_tot_inflow,takasaka,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?sy=gra_dam&rg=10&wl=1&wsl=0&tmg=202210040950&nwg=1&lod=0&sv=1&dk=4&mp=0&no=0&nw=1&tm=000101010000&sn=5&pg=1&vm=0&tvm=0&fn=0&cn=0&st=1&it=1&tsk=0&tsw=0&tk=0&sb=0&ga=4&gk=0&gk1=0&gk2=0&gk3=0&gk4=0&gk5=0&gn=0&gl=0&gw=0&gc=0&go=0&gm=0&omp=0&ost=0&og1=0&og2=0&og3=0&og4=0&og5=0&og6=0&og7=0&og8=0&og9=0&og10=0&og11=0&rk=1&mty=0&vo=0&tmgo=000101010000&mnflg=0&unq=1229495939,8,7,-2
takasakadam_tot_outflow,takasaka,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?sy=gra_dam&rg=10&wl=1&wsl=0&tmg=202210040950&nwg=1&lod=0&sv=1&dk=4&mp=0&no=0&nw=1&tm=000101010000&sn=5&pg=1&vm=0&tvm=0&fn=0&cn=0&st=1&it=1&tsk=0&tsw=0&tk=0&sb=0&ga=4&gk=0&gk1=0&gk2=0&gk3=0&gk4=0&gk5=0&gn=0&gl=0&gw=0&gc=0&go=0&gm=0&omp=0&ost=0&og1=0&og2=0&og3=0&og4=0&og5=0&og6=0&og7=0&og8=0&og9=0&og10=0&og11=0&rk=1&mty=0&vo=0&tmgo=000101010000&mnflg=0&unq=1229495939,8,7,-1
kamurodam_hr_rain,kamuro,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?sy=gra_dam&rg=10&wl=1&wsl=0&tmg=201807100700&nwg=1&lod=0&sv=1&dk=4&mp=0&no=0&nw=1&tm=000101010000&sn=6&pg=1&vm=0&tvm=0&fn=0&cn=0&st=1&it=1&tsk=0&tsw=0&tk=0&sb=0&ga=4&gk=0&gk1=0&gk2=0&gk3=0&gk4=0&gk5=0&gn=0&gl=0&gw=0&gc=0&go=0&gm=0&omp=0&ost=0&og1=0&og2=0&og3=0&og4=0&og5=0&og6=0&og7=0&og8=0&og9=0&og10=0&og11=0&rk=1&mty=0&vo=0&tmgo=&mnflg=0&unq=118681700,8,7,-5
kamurodam_cum_rain,kamuro,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?sy=gra_dam&rg=10&wl=1&wsl=0&tmg=201807100700&nwg=1&lod=0&sv=1&dk=4&mp=0&no=0&nw=1&tm=000101010000&sn=6&pg=1&vm=0&tvm=0&fn=0&cn=0&st=1&it=1&tsk=0&tsw=0&tk=0&sb=0&ga=4&gk=0&gk1=0&gk2=0&gk3=0&gk4=0&gk5=0&gn=0&gl=0&gw=0&gc=0&go=0&gm=0&omp=0&ost=0&og1=0&og2=0&og3=0&og4=0&og5=0&og6=0&og7=0&og8=0&og9=0&og10=0&og11=0&rk=1&mty=0&vo=0&tmgo=&mnflg=0&unq=118681700,8,7,-4
kamurodam_wl,kamuro,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?sy=gra_dam&rg=10&wl=1&wsl=0&tmg=201807100700&nwg=1&lod=0&sv=1&dk=4&mp=0&no=0&nw=1&tm=000101010000&sn=6&pg=1&vm=0&tvm=0&fn=0&cn=0&st=1&it=1&tsk=0&tsw=0&tk=0&sb=0&ga=4&gk=0&gk1=0&gk2=0&gk3=0&gk4=0&gk5=0&gn=0&gl=0&gw=0&gc=0&go=0&gm=0&omp=0&ost=0&og1=0&og2=0&og3=0&og4=0&og5=0&og6=0&og7=0&og8=0&og9=0&og10=0&og11=0&rk=1&mty=0&vo=0&tmgo=&mnflg=0&unq=118681700,8,7,-3
kamurodam_tot_inflow,kamuro,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?sy=gra_dam&rg=10&wl=1&wsl=0&tmg=201807100700&nwg=1&lod=0&sv=1&dk=4&mp=0&no=0&nw=1&tm=000101010000&sn=6&pg=1&vm=0&tvm=0&fn=0&cn=0&st=1&it=1&tsk=0&tsw=0&tk=0&sb=0&ga=4&gk=0&gk1=0&gk2=0&gk3=0&gk4=0&gk5=0&gn=0&gl=0&gw=0&gc=0&go=0&gm=0&omp=0&ost=0&og1=0&og2=0&og3=0&og4=0&og5=0&og6=0&og7=0&og8=0&og9=0&og10=0&og11=0&rk=1&mty=0&vo=0&tmgo=&mnflg=0&unq=118681700,8,7,-2
kamurodam_tot_outflow,kamuro,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?sy=gra_dam&rg=10&wl=1&wsl=0&tmg=201807100700&nwg=1&lod=0&sv=1&dk=4&mp=0&no=0&nw=1&tm=000101010000&sn=6&pg=1&vm=0&tvm=0&fn=0&cn=0&st=1&it=1&tsk=0&tsw=0&tk=0&sb=0&ga=4&gk=0&gk1=0&gk2=0&gk3=0&gk4=0&gk5=0&gn=0&gl=0&gw=0&gc=0&go=0&gm=0&omp=0&ost=0&og1=0&og2=0&og3=0&og4=0&og5=0&og6=0&og7=0&og8=0&og9=0&og10=0&og11=0&rk=1&mty=0&vo=0&tmgo=&mnflg=0&unq=118681700,8,7,-1
gassandam_hr_rain,gassan,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?unq=11991305513&mnflg=0&tmgo=000101010000&vo=0&mty=0&rk=1&og11=0&og10=0&og9=0&og8=0&og7=0&og6=0&og5=0&og4=0&og3=0&og2=0&og1=0&ost=0&omp=0&gm=0&go=0&gc=0&gw=0&gl=0&gn=0&gk5=0&gk4=0&gk3=0&gk2=0&gk1=0&gk=0&ga=4&sb=0&tk=0&tsw=0&tsk=0&it=1&st=1&cn=0&fn=0&tvm=0&vm=0&pg=1&sn=20&tm=000101010000&nw=1&no=0&mp=0&dk=4&sv=1&lod=0&nwg=1&tmg=201910130050&wsl=0&wl=1&rg=1&sy=gra_dam,8,7,-5
gassandam_cum_rain,gassan,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?unq=11991305513&mnflg=0&tmgo=000101010000&vo=0&mty=0&rk=1&og11=0&og10=0&og9=0&og8=0&og7=0&og6=0&og5=0&og4=0&og3=0&og2=0&og1=0&ost=0&omp=0&gm=0&go=0&gc=0&gw=0&gl=0&gn=0&gk5=0&gk4=0&gk3=0&gk2=0&gk1=0&gk=0&ga=4&sb=0&tk=0&tsw=0&tsk=0&it=1&st=1&cn=0&fn=0&tvm=0&vm=0&pg=1&sn=20&tm=000101010000&nw=1&no=0&mp=0&dk=4&sv=1&lod=0&nwg=1&tmg=201910130050&wsl=0&wl=1&rg=1&sy=gra_dam,8,7,-4
gassandam_wl,gassan,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?unq=11991305513&mnflg=0&tmgo=000101010000&vo=0&mty=0&rk=1&og11=0&og10=0&og9=0&og8=0&og7=0&og6=0&og5=0&og4=0&og3=0&og2=0&og1=0&ost=0&omp=0&gm=0&go=0&gc=0&gw=0&gl=0&gn=0&gk5=0&gk4=0&gk3=0&gk2=0&gk1=0&gk=0&ga=4&sb=0&tk=0&tsw=0&tsk=0&it=1&st=1&cn=0&fn=0&tvm=0&vm=0&pg=1&sn=20&tm=000101010000&nw=1&no=0&mp=0&dk=4&sv=1&lod=0&nwg=1&tmg=201910130050&wsl=0&wl=1&rg=1&sy=gra_dam,8,7,-3
gassandam_tot_inflow,gassan,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?unq=11991305513&mnflg=0&tmgo=000101010000&vo=0&mty=0&rk=1&og11=0&og10=0&og9=0&og8=0&og7=0&og6=0&og5=0&og4=0&og3=0&og2=0&og1=0&ost=0&omp=0&gm=0&go=0&gc=0&gw=0&gl=0&gn=0&gk5=0&gk4=0&gk3=0&gk2=0&gk1=0&gk=0&ga=4&sb=0&tk=0&tsw=0&tsk=0&it=1&st=1&cn=0&fn=0&tvm=0&vm=0&pg=1&sn=20&tm=000101010000&nw=1&no=0&mp=0&dk=4&sv=1&lod=0&nwg=1&tmg=201910130050&wsl=0&wl=1&rg=1&sy=gra_dam,8,7,-2
gassandam_tot_outflow,gassan,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?unq=11991305513&mnflg=0&tmgo=000101010000&vo=0&mty=0&rk=1&og11=0&og10=0&og9=0&og8=0&og7=0&og6=0&og5=0&og4=0&og3=0&og2=0&og1=0&ost=0&omp=0&gm=0&go=0&gc=0&gw=0&gl=0&gn=0&gk5=0&gk4=0&gk3=0&gk2=0&gk1=0&gk=0&ga=4&sb=0&tk=0&tsw=0&tsk=0&it=1&st=1&cn=0&fn=0&tvm=0&vm=0&pg=1&sn=20&tm=000101010000&nw=1&no=0&mp=0&dk=4&sv=1&lod=0&nwg=1&tmg=201910130050&wsl=0&wl=1&rg=1&sy=gra_dam,8,7,-1
mikuriya_hr_rain,mikuriya,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?sy=gra_river&rg=10&wl=1&wsl=0&tmg=201901060930&nwg=1&lod=0&sv=1&dk=2&mp=0&no=0&nw=1&tm=000101010000&sn=283&pg=1&vm=0&tvm=0&fn=0&cn=0&st=1&it=1&tsk=0&tsw=0&tk=0&sb=0&ga=4&gk=0&gk1=0&gk2=0&gk3=0&gk4=0&gk5=0&gn=0&gl=0&gw=0&gc=0&go=0&gm=0&omp=0&ost=0&og1=0&og2=0&og3=0&og4=0&og5=0&og6=0&og7=0&og8=0&og9=0&og10=0&og11=0&rk=1&mty=0&vo=0&tmgo=&mnflg=0&unq=1190693216,8,5,-3
mikuriya_cum_rain,mikuriya,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?sy=gra_river&rg=10&wl=1&wsl=0&tmg=201901060930&nwg=1&lod=0&sv=1&dk=2&mp=0&no=0&nw=1&tm=000101010000&sn=283&pg=1&vm=0&tvm=0&fn=0&cn=0&st=1&it=1&tsk=0&tsw=0&tk=0&sb=0&ga=4&gk=0&gk1=0&gk2=0&gk3=0&gk4=0&gk5=0&gn=0&gl=0&gw=0&gc=0&go=0&gm=0&omp=0&ost=0&og1=0&og2=0&og3=0&og4=0&og5=0&og6=0&og7=0&og8=0&og9=0&og10=0&og11=0&rk=1&mty=0&vo=0&tmgo=&mnflg=0&unq=1190693216,8,5,-2
mikuriya_wl,mikuriya,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?sy=gra_river&rg=10&wl=1&wsl=0&tmg=201901060930&nwg=1&lod=0&sv=1&dk=2&mp=0&no=0&nw=1&tm=000101010000&sn=283&pg=1&vm=0&tvm=0&fn=0&cn=0&st=1&it=1&tsk=0&tsw=0&tk=0&sb=0&ga=4&gk=0&gk1=0&gk2=0&gk3=0&gk4=0&gk5=0&gn=0&gl=0&gw=0&gc=0&go=0&gm=0&omp=0&ost=0&og1=0&og2=0&og3=0&og4=0&og5=0&og6=0&og7=0&og8=0&og9=0&og10=0&og11=0&rk=1&mty=0&vo=0&tmgo=&mnflg=0&unq=1190693216,8,5,-1
tamugimata_hr_rain,tamugimata,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?sy=gra_rain&rg=10&wl=0&tmg=201508251400&nwg=1&lod=0&sv=1&dk=1&mp=0&no=0&nw=1&tm=000101010000&sn=211&pg=1&vm=0&tvm=0&fn=0&cn=0&st=1&it=1&tsk=0&tsw=0&tk=0&sb=0&ga=4&gk=0&gk1=0&gk2=0&gk3=0&gk4=0&gk5=0&gn=0&gl=0&gw=0&gc=0&go=0&gm=0&omp=0&ost=0&og1=0&og2=0&og3=0&og4=0&og5=0&og6=0&og7=0&og8=0&og9=0&og10=0&og11=0&rk=1&mty=0&vo=0&tmgo=&mnflg=0&unq=11572514659,8,4,-2
tamugimata_cum_rain,tamugimata,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?sy=gra_rain&rg=10&wl=0&tmg=201508251400&nwg=1&lod=0&sv=1&dk=1&mp=0&no=0&nw=1&tm=000101010000&sn=211&pg=1&vm=0&tvm=0&fn=0&cn=0&st=1&it=1&tsk=0&tsw=0&tk=0&sb=0&ga=4&gk=0&gk1=0&gk2=0&gk3=0&gk4=0&gk5=0&gn=0&gl=0&gw=0&gc=0&go=0&gm=0&omp=0&ost=0&og1=0&og2=0&og3=0&og4=0&og5=0&og6=0&og7=0&og8=0&og9=0&og10=0&og11=0&rk=1&mty=0&vo=0&tmgo=&mnflg=0&unq=11572514659,8,4,-1
